contour,x,y
0,820,240
0,833,241
0,836,245
0,840,243
0,882,257
0,884,259
0,881,262
0,884,265
0,887,264
0,886,260
0,904,271
0,939,306
0,950,329
0,941,316
0,939,320
0,949,334
0,951,331
0,958,342
0,981,381
0,1000,420
0,1006,451
0,1004,464
0,1006,464
0,1007,459
0,1011,481
0,1014,526
0,1020,562
0,1025,567
0,1048,579
0,1083,584
0,1105,593
0,1134,609
0,1187,665
0,1204,691
0,1203,695
0,1205,694
0,1209,699
0,1257,721
0,1266,728
0,1291,759
0,1320,802
0,1348,788
0,1389,774
0,1439,761
0,1474,763
0,1496,767
0,1512,780
0,1525,807
0,1529,845
0,1523,879
0,1495,944
0,1486,982
0,1483,1003
0,1497,1018
0,1511,1017
0,1527,1020
0,1541,1031
0,1554,1014
0,1556,1015
0,1555,1012
0,1561,1005
0,1614,978
0,1641,948
0,1681,910
0,1725,884
0,1737,881
0,1759,899
0,1765,916
0,1760,936
0,1756,946
0,1737,971
0,1666,1040
0,1658,1070
0,1663,1082
0,1699,1100
0,1845,1123
0,1852,1128
0,1841,1131
0,1839,1136
0,1855,1129
0,1858,1130
0,1859,1134
0,1865,1131
0,1891,1137
0,1910,1145
0,1927,1163
0,1930,1176
0,1930,1191
0,1923,1205
0,1904,1214
0,1878,1211
0,1848,1202
0,1797,1202
0,1795,1207
0,1799,1224
0,1799,1252
0,1777,1279
0,1768,1317
0,1739,1355
0,1732,1386
0,1725,1392
0,1697,1407
0,1673,1426
0,1646,1435
0,1605,1457
0,1602,1457
0,1588,1443
0,1580,1426
0,1582,1406
0,1590,1397
0,1587,1394
0,1546,1390
0,1504,1370
0,1485,1359
0,1457,1327
0,1455,1329
0,1456,1349
0,1464,1376
0,1475,1398
0,1482,1407
0,1523,1444
0,1537,1464
0,1537,1486
0,1528,1490
0,1523,1490
0,1478,1468
0,1425,1434
0,1352,1365
0,1295,1328
0,1270,1306
0,1284,1277
0,1320,1237
0,1334,1210
0,1347,1160
0,1351,1130
0,1348,1124
0,1315,1111
0,1284,1089
0,1243,1135
0,1201,1175
0,1152,1206
0,1097,1245
0,1070,1274
0,1051,1302
0,1042,1322
0,1026,1341
0,1036,1352
0,1092,1393
0,1160,1427
0,1199,1441
0,1272,1448
0,1291,1456
0,1326,1480
0,1417,1533
0,1432,1539
0,1484,1548
0,1540,1563
0,1606,1607
0,1650,1643
0,1667,1664
0,1669,1668
0,1668,1689
0,1642,1736
0,1619,1757
0,1558,1754
0,1491,1742
0,1413,1719
0,1332,1670
0,1267,1638
0,1231,1613
0,1184,1590
0,1152,1579
0,1098,1544
0,1030,1521
0,981,1509
0,836,1454
0,735,1426
0,656,1387
0,608,1354
0,564,1306
0,474,1230
0,448,1168
0,452,1133
0,468,1080
0,514,1039
0,540,1028
0,584,1016
0,629,1022
0,714,1059
0,763,1073
0,804,1081
0,843,1094
0,847,1092
0,814,1037
0,787,1011
0,764,971
0,756,946
0,727,922
0,703,890
0,686,862
0,658,809
0,647,756
0,633,722
0,624,688
0,588,604
0,558,574
0,534,541
0,519,536
0,471,532
0,426,521
0,392,502
0,366,477
0,327,455
0,255,427
0,234,424
0,220,432
0,203,434
0,163,430
0,148,444
0,114,448
0,107,437
0,92,423
0,93,414
0,83,407
0,78,398
0,77,395
0,81,387
0,80,383
0,68,370
0,72,345
0,86,314
0,110,299
0,118,297
0,167,313
0,210,333
0,298,358
0,466,380
0,533,395
0,569,419
0,606,453
0,611,453
0,643,437
0,638,417
0,639,358
0,663,311
0,679,294
0,681,296
0,694,290
0,691,287
0,681,292
0,683,289
0,693,279
0,698,278
0,708,269
0,734,255
0,740,256
0,742,251
0,752,247
0,767,244
0,819,241
